id,userid,relation,landmark,geometry_type,geometry
5f389f4fb443d0000407f8d8,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,ENTRE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.8703425526619, -7.232872151660415],[-35.87051153182984, -7.232999873195369],[-35.87008237838746, -7.2334788286296],[-35.869942903518684, -7.233364411544287],[-35.8703425526619, -7.232872151660415]]]}"
5f389f60b443d0000407f8d9,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,ENTRE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86954593658448, -7.234120095943113],[-35.8693876862526, -7.234050913621181],[-35.868929028511054, -7.234617676176925],[-35.86909264326096, -7.234689519266975],[-35.86955666542054, -7.234141382809267],[-35.86954593658448, -7.234120095943113]]]}"
5f3935d02057c600043bdd2a,203b2fe1-9363-4685-9eb0-dc8dd91191c5,NA RUA - PERTO DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.877619385719306, -7.222609076103225],[-35.87769448757172, -7.222478690703807],[-35.87758719921113, -7.222545213871472],[-35.87763279676438, -7.222598432398548],[-35.877619385719306, -7.222609076103225]]]}"
5f3936ff2057c600043bdd2b,203b2fe1-9363-4685-9eb0-dc8dd91191c5,NA RUA - PERTO DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.877815186977394, -7.223024180389695],[-35.87792783975602, -7.223080059783766],[-35.87785542011262, -7.223109329939814],[-35.877815186977394, -7.223024180389695],[-35.878051221370704, -7.223181174860247],[-35.877909064292915, -7.22311199086299],[-35.877909064292915, -7.22311199086299],[-35.87785542011262, -7.223109329939814],[-35.877815186977394, -7.223024180389695]]]}"
5f39374c2057c600043bdd2c,203b2fe1-9363-4685-9eb0-dc8dd91191c5,NA RUA - PERTO DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86954593658448, -7.233609210854266],[-35.86883515119553, -7.234519224516438],[-35.86892634630204, -7.234588406766591],[-35.86966663599015, -7.2336810541048315],[-35.86954593658448, -7.233609210854266]]]}"
5f3937b82057c600043bdd2d,203b2fe1-9363-4685-9eb0-dc8dd91191c5,NA RUA - PERTO DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.869537889957435, -7.233571958793914],[-35.86881637573243, -7.234473989962527],[-35.86891025304795, -7.234585745911008],[-35.869663953781135, -7.233710323573994],[-35.86955130100251, -7.233585263101537],[-35.869537889957435, -7.233571958793914]]]}"
5f3937d32057c600043bdd2e,203b2fe1-9363-4685-9eb0-dc8dd91191c5,NA FRENTE DE,Café Poético,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.879421830177314, -7.223936876294594],[-35.879365503788, -7.2240353302616835],[-35.87920725345612, -7.223920910784402],[-35.879263579845436, -7.223865031494271],[-35.879421830177314, -7.223936876294594]],[[-35.879384279251106, -7.224123140538561],[-35.87922334671021, -7.224325370202264],[-35.87910801172257, -7.223950180885999],[-35.879384279251106, -7.224123140538561]]]]}"
5f3937ed2057c600043bdd2f,203b2fe1-9363-4685-9eb0-dc8dd91191c5,NA FRENTE DE,Maria Pitanga,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.8796712756157, -7.223806491278152],[-35.87985366582871, -7.2238197958733865],[-35.879794657230384, -7.224256186380129],[-35.879641771316535, -7.224200307131446],[-35.879668593406684, -7.223809152197233],[-35.87956935167313, -7.224250864547223],[-35.8796712756157, -7.223806491278152]],[[-35.87955057621003, -7.224237559964672],[-35.87932527065278, -7.224365283940982],[-35.87912410497666, -7.224269490962131],[-35.87920188903809, -7.224006060165609],[-35.87955057621003, -7.224237559964672]]]]}"
5f3938132057c600043bdd30,203b2fe1-9363-4685-9eb0-dc8dd91191c5,NA FRENTE DE,Niscar,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.870031416416175, -7.233662428078001],[-35.86986780166627, -7.2338752969101865],[-35.869806110858924, -7.233838044871806],[-35.86997777223588, -7.233617193438229],[-35.870031416416175, -7.233662428078001]],[[-35.86979269981385, -7.233542689315783],[-35.86970150470734, -7.2336597672169605],[-35.869553983211524, -7.233553332762593],[-35.869653224945075, -7.233428272246652],[-35.869795382022865, -7.233540028454042],[-35.86967200040818, -7.2336970192700605],[-35.86960226297379, -7.233771523367037],[-35.869527161121376, -7.233710323573994],[-35.86948156356812, -7.233649123772656],[-35.869511067867286, -7.233590584824472],[-35.86967736482621, -7.233678393243892],[-35.86979269981385, -7.233542689315783]]]]}"
5f39382c2057c600043bdd31,203b2fe1-9363-4685-9eb0-dc8dd91191c5,NA FRENTE DE,Localiza Hertz,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.870009958744056, -7.233726288738192],[-35.869899988174446, -7.233909888085948],[-35.86979806423188, -7.233830062291749],[-35.869932174682624, -7.233675732382953],[-35.870020687580116, -7.233744914762388],[-35.870009958744056, -7.233726288738192]],[[-35.869795382022865, -7.233540028454042],[-35.8696934580803, -7.233673071521988],[-35.86949229240418, -7.233510758973824],[-35.8695861697197, -7.23336973326983],[-35.869795382022865, -7.233540028454042]],[[-35.86967200040818, -7.233683714965733],[-35.869564712047584, -7.233811436271076],[-35.86939841508866, -7.233718306156163],[-35.869449377059944, -7.233516080697637],[-35.8697122335434, -7.233686375826634],[-35.86967200040818, -7.233683714965733]]]]}"
5f3938422057c600043bdd32,203b2fe1-9363-4685-9eb0-dc8dd91191c5,À DIREITA DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879365503788, -7.224024686590606],[-35.879384279251106, -7.223984772821811],[-35.87953984737397, -7.224040652097133],[-35.87953984737397, -7.2241258014557825],[-35.879365503788, -7.224024686590606]]]}"
5f3938542057c600043bdd33,203b2fe1-9363-4685-9eb0-dc8dd91191c5,À DIREITA DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879625678062446, -7.223700054502146],[-35.87961494922639, -7.223886318843705],[-35.879515707492835, -7.223811813116287],[-35.879542529582984, -7.223604261382307],[-35.879636406898506, -7.223604261382307],[-35.879625678062446, -7.223700054502146]]]}"
5f3938812057c600043bdd34,203b2fe1-9363-4685-9eb0-dc8dd91191c5,À DIREITA DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86997240781785, -7.2337768450877835],[-35.8698731660843, -7.233896583787892],[-35.86979269981385, -7.233838044871806],[-35.869910717010505, -7.233707662713245],[-35.86997240781785, -7.2337768450877835]]]}"
5f3938932057c600043bdd35,203b2fe1-9363-4685-9eb0-dc8dd91191c5,À DIREITA DE,Localiza Hertz,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.86985975503922, -7.233957783555681],[-35.86975514888764, -7.2340535744799075],[-35.869674682617195, -7.233976409570324],[-35.8697658777237, -7.233872636050404],[-35.86985975503922, -7.233957783555681],[-35.87014943361283, -7.233973748711127],[-35.86985975503922, -7.233957783555681]],[[-35.870009958744056, -7.234013661597279],[-35.870184302330024, -7.234165330532493],[-35.870152115821845, -7.2339710878519305],[-35.870152115821845, -7.2339710878519305],[-35.870015323162086, -7.234013661597279],[-35.870009958744056, -7.234013661597279]]]]}"
5f3938af2057c600043bdd36,203b2fe1-9363-4685-9eb0-dc8dd91191c5,AO LADO DE,Café Poético,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.879258215427406, -7.223875675169115],[-35.87920725345612, -7.22391558894754],[-35.87896317243577, -7.223766577490084],[-35.87898194789887, -7.223692071742934],[-35.879258215427406, -7.223875675169115]],[[-35.87940841913224, -7.224003399247686],[-35.879405736923225, -7.224043313014839],[-35.87957471609116, -7.224147088792939],[-35.87958544492722, -7.224077904943514],[-35.87941378355027, -7.223987433739835],[-35.87940841913224, -7.224003399247686]]]]}"
5f3938c42057c600043bdd37,203b2fe1-9363-4685-9eb0-dc8dd91191c5,AO LADO DE,Maria Pitanga,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.879365503788, -7.223987433739835],[-35.87934136390687, -7.224014042919273],[-35.87909728288651, -7.223843744143833],[-35.879365503788, -7.223987433739835]],[[-35.879636406898506, -7.223559025735342],[-35.87958008050919, -7.223556364814786],[-35.87956130504609, -7.223896962518039],[-35.8796176314354, -7.223942198131201],[-35.879652500152595, -7.223556364814786],[-35.879636406898506, -7.223559025735342]]]]}"
5f3938df2057c600043bdd38,203b2fe1-9363-4685-9eb0-dc8dd91191c5,AO LADO DE,Niscar,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.869942903518684, -7.23375821906491],[-35.86984902620316, -7.23388594034916],[-35.86979806423188, -7.233830062291749],[-35.869889259338386, -7.233702340991685],[-35.86995899677277, -7.233766201646239],[-35.869942903518684, -7.23375821906491]],[[-35.87022185325623, -7.233476167767491],[-35.8701252937317, -7.233587923963011],[-35.87005019187928, -7.233529385006901],[-35.870152115821845, -7.2334016636217635],[-35.87022185325623, -7.233476167767491]]]]}"
